Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase
NZDUSD.m,0.5827,0.5827,0.58275,0.5827249999999999,NEUTRAL,RANGE,0,0.0,9.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.09335196000078523,-0.014212658422697963,True,0.3474059768208959,NEUTRAL,0.0973848726548041,0.47748922303659436,0.6099999999998214,LAMINAR,-0.0040329126540188664,-0.13008324621569844,-0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
USDCAD.m,1.39814,1.39814,1.39824,1.39819,NEUTRAL,RANGE,0,0.0,9.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9999999999998899,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999999615,LAMINAR,False,0.7499999999999615,0.015667606096375748,-0.02578703331164172,True,0.4663084260486583,NEUTRAL,0.012879079518026689,0.6029146355534765,0.7149999999997322,LAMINAR,0.002788526578349059,-0.13660620950481817,0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
USDCHF.m,0.79568,0.79568,0.79575,0.795715,NEUTRAL,RANGE,0,0.0,8.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6999999999990346,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5449999999996621,LAMINAR,False,0.6449999999996621,0.05909363338276567,-0.13802018832931875,True,0.37175473774992357,NEUTRAL,0.061260719710041926,0.5095967378370077,0.6100000000002099,LAMINAR,-0.0021670863272762533,-0.13784200008708408,0.034999999999452136,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
USDJPY.m,160.099,160.099,160.105,160.10199999999998,NEUTRAL,RANGE,0,0.0,14.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6000000000000227,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.510000000000008,LAMINAR,False,0.610000000000008,0.08177722072680042,0.07187510161833999,True,0.1700654761719777,NEUTRAL,0.08363451091499438,0.2582615733780976,0.5749999999998409,LAMINAR,-0.001857290188193958,-0.08819609720611987,0.03500000000016712,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
AUDCAD.m,0.98445,0.98445,0.98451,0.98448,NEUTRAL,RANGE,0,0.0,11.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.08098769472467367,-0.1609590421022753,False,0.3491858674597169,NEUTRAL,0.09305036756785467,0.5240410510332851,0.6100000000002099,LAMINAR,-0.012062672843181008,-0.17485518357356822,-3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
AUDCHF.m,0.56027,0.56027,0.56032,0.560295,NEUTRAL,RANGE,0,0.0,6.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.03752569832974721,-0.263561862829567,True,0.39732606653890434,NEUTRAL,0.04421801114482689,0.5644602201358315,0.5749999999999807,LAMINAR,-0.006692312815079676,-0.16713415359692718,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURNZD.m,1.9870999999999999,1.9870999999999999,1.98719,1.987145,NEUTRAL,RANGE,0,0.0,18.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.02764523150138184,0.28102190232891894,False,0.4172108225346453,NEUTRAL,0.03336772034645252,0.5657357998750334,0.8900000000001013,STRESSED,-0.005722488845070681,-0.1485249773403881,-0.17499999999959193,False,True,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
GBPCAD.m,1.87562,1.87562,1.8757000000000001,1.87566,NEUTRAL,RANGE,0,0.0,11.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.054867939187717374,0.06703417773023548,True,0.3504570003510582,NEUTRAL,0.061451916065007495,0.5008917767812129,0.7149999999997322,LAMINAR,-0.006583976877290121,-0.15043477643015468,-0.034999999999452136,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
GBPNZD.m,2.30213,2.30213,2.30228,2.302205,NEUTRAL,RANGE,0,0.0,21.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.024583580749760425,0.14079630707828414,False,0.436121611963069,NEUTRAL,0.026667838067325297,0.5842816542017266,1.1,STRESSED,-0.002084257317564873,-0.14816004223865764,-0.17499999999966953,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED
NZDCAD.m,0.81469,0.81469,0.81476,0.814725,NEUTRAL,RANGE,0,0.0,9.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.07901738760696508,-0.039267452894086854,True,0.373949728603336,NEUTRAL,0.08478608436040966,0.5187381030128903,0.7150000000001208,LAMINAR,-0.005768696753444574,-0.14478837440955428,-0.07000000000007012,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
NZDCHF.m,0.46365,0.46365,0.46371,0.46368,NEUTRAL,RANGE,0,0.0,6.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6000000000000448,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.5100000000000157,LAMINAR,False,0.6100000000000156,0.035187290254935534,-0.15590490079230246,True,0.4162169893599179,NEUTRAL,0.037882970977682714,0.5588274127431652,0.6099999999998214,LAMINAR,-0.0026956807227471805,-0.14261042338324725,1.942890293094024e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
NZDJPY.m,93.291,93.291,93.3,93.2955,NEUTRAL,RANGE,0,0.0,11.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000000341,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.615000000000012,LAMINAR,False,0.715000000000012,0.012372531348805232,0.0627399825122299,False,0.3982696308167453,NEUTRAL,0.014060303821645997,0.5295192131272173,0.7850000000003462,LAMINAR,-0.0016877724728407654,-0.13124958231047196,-0.07000000000033424,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
XAGUSD.m,66.881,66.881,66.916,66.8985,NEUTRAL,RANGE,0,0.0,54.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,3.499999999999659,3.06,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.44552744352085083,1.933386460626163,True,0.5247674199528767,NEUTRAL,0.5217255209961151,0.65611350397573,1.1,STRESSED,-0.0761980774752643,-0.1313460840228533,0.0,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS
XAUUSD.m,4217.78,4217.78,4217.99,4217.885,NEUTRAL,RANGE,0,0.0,2263.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,21.000000000003638,18.38,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.4937397331826361,2.7839806460705843,False,0.5405111126961579,NEUTRAL,0.4932225913166768,0.6752724387318303,1.1,VOID,0.000517141865959303,-0.13476132603567237,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS
